,Sample,Age
266,GSM990617,69.0
267,GSM990312,51.0
268,GSM989951,80.0
269,GSM990374,58.0
270,GSM989902,85.0
271,GSM989897,73.0
272,GSM990015,74.0
273,GSM990325,55.0
274,GSM990478,65.0
275,GSM989913,76.0
276,GSM990055,85.0
277,GSM990344,57.0
278,GSM990418,69.0
279,GSM990330,52.0
280,GSM989859,82.0
281,GSM990028,79.0
282,GSM990362,60.0
283,GSM990287,61.0
284,GSM990404,58.0
285,GSM990415,65.0
286,GSM990117,64.0
287,GSM990289,45.0
288,GSM989882,96.0
289,GSM990295,48.0
290,GSM989886,54.0
291,GSM990501,44.0
292,GSM990526,51.0
293,GSM989980,34.0
294,GSM990011,56.0
295,GSM990271,51.0
296,GSM990474,52.0
297,GSM990612,86.0
298,GSM990490,33.0
299,GSM989907,78.0
300,GSM990290,62.0
301,GSM989973,69.0
302,GSM989934,78.0
303,GSM990504,27.0
304,GSM990090,57.0
305,GSM990441,73.0
306,GSM990049,81.0
307,GSM990021,76.0
308,GSM990400,76.0
309,GSM990044,87.0
310,GSM990007,70.0
311,GSM990431,76.0
312,GSM990381,55.0
313,GSM990515,47.0
314,GSM990100,58.0
315,GSM990352,59.0
316,GSM990513,75.0
317,GSM989839,77.0
318,GSM989830,64.0
319,GSM990065,76.0
320,GSM990481,76.0
321,GSM989956,86.0
322,GSM990453,69.0
323,GSM990603,74.0
324,GSM989926,65.0
325,GSM990029,75.0
326,GSM990343,50.0
327,GSM990095,51.0
328,GSM990293,64.0
329,GSM990105,44.0
330,GSM990380,56.0
331,GSM990523,27.0
332,GSM989833,73.0
333,GSM990455,56.0
334,GSM990277,33.0
335,GSM989912,66.0
336,GSM990553,80.0
337,GSM990074,54.0
338,GSM990382,61.0
339,GSM990561,74.0
340,GSM990368,57.0
341,GSM989836,83.0
342,GSM990071,44.0
343,GSM990115,38.0
344,GSM990052,75.0
345,GSM990585,72.0
346,GSM990098,42.0
347,GSM990063,86.0
348,GSM990333,59.0
349,GSM990376,61.0
350,GSM990285,47.0
351,GSM990579,84.0
352,GSM990524,69.0
353,GSM989944,76.0
354,GSM990596,66.0
355,GSM990533,62.0
356,GSM990487,57.0
357,GSM990531,34.0
358,GSM990298,58.0
359,GSM990114,61.0
360,GSM990408,69.0
361,GSM990022,78.0
362,GSM990347,62.0
363,GSM989896,55.0
364,GSM989982,52.0
365,GSM990477,69.0
366,GSM990076,60.0
367,GSM990570,69.0
368,GSM990004,67.0
369,GSM990118,57.0
370,GSM990364,64.0
371,GSM990587,56.0
372,GSM990335,64.0
373,GSM990589,78.0
374,GSM990454,81.0
375,GSM990483,45.0
376,GSM989989,59.0
377,GSM990591,89.0
378,GSM989991,50.0
379,GSM989877,76.0
380,GSM990572,85.0
381,GSM990522,37.0
382,GSM990379,62.0
383,GSM990539,21.0
384,GSM990300,60.0
385,GSM989928,84.0
386,GSM990582,71.0
387,GSM989927,68.0
388,GSM990310,65.0
389,GSM990430,57.0
390,GSM989985,54.0
391,GSM990424,68.0
392,GSM990324,31.0
393,GSM990449,72.0
394,GSM990479,45.0
395,GSM989924,59.0
396,GSM990282,64.0
397,GSM990064,83.0
398,GSM990398,83.0
399,GSM990110,65.0
400,GSM990482,76.0
401,GSM990450,48.0
402,GSM990546,89.0
403,GSM990353,52.0
404,GSM989867,87.0
405,GSM989832,87.0
406,GSM990607,70.0
407,GSM989845,92.0
408,GSM990503,45.0
409,GSM990303,54.0
410,GSM990025,71.0
411,GSM989911,85.0
412,GSM990557,85.0
413,GSM989945,54.0
414,GSM990525,28.0
415,GSM990551,73.0
416,GSM990615,89.0
417,GSM989853,76.0
418,GSM989955,50.0
419,GSM989862,54.0
420,GSM990078,43.0
421,GSM990351,41.0
422,GSM990537,25.0
423,GSM990069,88.0
424,GSM989890,89.0
425,GSM990566,59.0
426,GSM990082,71.0
427,GSM989921,85.0
428,GSM990599,65.0
429,GSM989875,78.0
430,GSM990315,61.0
431,GSM990297,64.0
432,GSM990332,65.0
433,GSM990079,41.0
434,GSM990536,36.0
435,GSM989920,66.0
436,GSM989936,49.0
437,GSM990296,60.0
438,GSM990050,71.0
439,GSM990605,83.0
440,GSM990087,68.0
441,GSM990378,66.0
442,GSM989995,47.0
443,GSM990626,61.0
444,GSM989947,48.0
445,GSM990459,75.0
446,GSM990532,44.0
447,GSM990018,80.0
448,GSM990306,63.0
449,GSM990081,48.0
450,GSM990569,85.0
451,GSM990107,51.0
452,GSM989971,61.0
453,GSM990003,77.0
454,GSM990373,41.0
455,GSM989918,69.0
456,GSM990401,64.0
457,GSM990417,58.0
458,GSM990318,52.0
459,GSM990092,51.0
460,GSM990403,82.0
461,GSM990084,64.0
462,GSM990326,53.0
463,GSM989919,63.0
464,GSM989969,81.0
465,GSM990086,55.0
466,GSM989974,65.0
467,GSM989988,54.0
468,GSM990426,65.0
469,GSM989860,74.0
470,GSM990471,76.0
471,GSM990559,85.0
472,GSM990420,65.0
473,GSM990588,92.0
474,GSM990077,40.0
475,GSM989878,67.0
476,GSM990342,60.0
477,GSM989870,73.0
478,GSM989941,68.0
479,GSM989977,55.0
480,GSM989976,43.0
481,GSM990529,44.0
482,GSM989900,89.0
483,GSM990581,93.0
484,GSM989905,73.0
485,GSM990322,61.0
486,GSM990016,73.0
487,GSM990066,75.0
488,GSM990361,55.0
489,GSM990354,50.0
490,GSM990274,55.0
491,GSM990399,77.0
492,GSM989901,79.0
493,GSM990528,19.0
494,GSM989868,74.0
495,GSM989963,64.0
496,GSM989906,63.0
497,GSM990549,55.0
498,GSM989838,48.0
499,GSM989866,85.0
500,GSM990054,77.0
501,GSM989993,50.0
502,GSM989930,51.0
503,GSM989915,84.0
504,GSM990407,66.0
505,GSM990448,52.0
506,GSM990041,69.0
507,GSM989940,46.0
508,GSM990109,53.0
